0	0
0.92127305	8.881784E-16
2.7470686	0.14553015
3.19933	0.32016632
3.5845897	0.65488565
3.919598	1.047817
4.237856	1.4261954
4.673367	1.9064449
5.0921273	2.3575883
5.326633	2.7359667
5.8626466	2.997921
6.0636516	3.2598753
6.247906	3.4927235
6.482412	3.7837837
6.8174205	4.045738
7.1691794	4.10395
7.1691794	4.322245
7.4539366	4.6424117
7.6381907	4.991684
7.956449	5.442827
8.174205	5.8212056
8.37521	6.068607
8.576215	6.2723494
8.77722	6.3742204
9.19598	6.4469852
9.363484	6.4324327
9.530989	6.2577963
9.748744	5.981289
9.832496	5.5301456
9.966499	5.064449
10.050251	4.7442827
10.184255	4.438669
10.335009	3.7401247
10.569514	3.2889812
10.703518	3.012474
10.954774	2.4740124
11.088778	2.095634
11.273032	1.7318088
11.440536	1.3970894
11.62479	1.1496881
11.892797	0.8004158
12.211055	0.5093555
12.512563	0.32016632
12.747068	0.21829522
13.015076	0.13097712
13.19933	0.13097712
13.433836	0.043659043
13.651591	0.043659043
13.9866	0.014553014
14.288107	0
14.740369	0
